date,revenue,transactions,avg_price,first_sale_hour,last_sale_hour,avg_sale_hour,year,month,day,dayofweek,quarter,week_of_year,is_weekend,is_month_start,is_month_end,month_sin,month_cos,dayofweek_sin,dayofweek_cos,transactions_lag_1,transactions_lag_7,transactions_lag_14,transactions_roll_3,transactions_roll_7,transactions_roll_30,transactions_vol_7,total_daily_transactions,total_daily_revenue,market_share_transactions,product_Americano,product_Americano with Milk,product_Cappuccino,product_Cocoa,product_Cortado,product_Espresso,product_Hot Chocolate,product_Latte
2024-11-18,0.0,0.0,0.0,0.0,0.0,0.0,2024,11,18,0,4,47,0,0,0,-0.5000000000000004,0.8660254037844384,0.0,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.26666666666666666,0.3779644730092269,6.0,204.76,0.0,False,False,False,False,False,True,False,False
2024-11-19,21.06,1.0,21.06,9.0,9.0,9.0,2024,11,19,1,4,47,0,0,0,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,0.0,0.0,0.0,0.3333333333333333,0.2857142857142857,0.3,0.4879500364742664,11.0,368.86,0.09090909090909091,False,False,False,False,False,True,False,False
2024-11-20,0.0,0.0,0.0,0.0,0.0,0.0,2024,11,20,2,4,47,0,0,0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,1.0,0.0,1.0,0.3333333333333333,0.2857142857142857,0.26666666666666666,0.4879500364742664,4.0,138.14,0.0,False,False,False,False,False,True,False,False
2024-11-21,0.0,0.0,0.0,0.0,0.0,0.0,2024,11,21,3,4,47,0,0,0,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,0.0,1.0,0.0,0.3333333333333333,0.14285714285714285,0.23333333333333334,0.3779644730092269,8.0,261.58,0.0,False,False,False,False,False,True,False,False
2024-11-22,0.0,0.0,0.0,0.0,0.0,0.0,2024,11,22,4,4,47,0,0,0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0.0,0.0,0.0,0.0,0.14285714285714285,0.2,0.3779644730092269,6.0,214.56,0.0,False,False,False,False,False,True,False,False
2024-11-23,0.0,0.0,0.0,0.0,0.0,0.0,2024,11,23,5,4,47,1,0,0,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,0.0,0.0,0.0,0.0,0.14285714285714285,0.2,0.3779644730092269,7.0,211.12,0.0,False,False,False,False,False,True,False,False
2024-11-24,0.0,0.0,0.0,0.0,0.0,0.0,2024,11,24,6,4,47,1,0,0,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,0.0,0.0,0.0,0.0,0.14285714285714285,0.16666666666666666,0.3779644730092269,2.0,71.52,0.0,False,False,False,False,False,True,False,False
2024-11-25,0.0,0.0,0.0,0.0,0.0,0.0,2024,11,25,0,4,48,0,0,0,-0.5000000000000004,0.8660254037844384,0.0,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.13333333333333333,0.3779644730092269,11.0,373.76,0.0,False,False,False,False,False,True,False,False
2024-11-26,0.0,0.0,0.0,0.0,0.0,0.0,2024,11,26,1,4,48,0,0,0,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,0.0,1.0,0.0,0.0,0.0,0.13333333333333333,0.0,10.0,333.1,0.0,False,False,False,False,False,True,False,False
2024-11-27,0.0,0.0,0.0,0.0,0.0,0.0,2024,11,27,2,4,48,0,0,0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,False,False,False,False,False,True,False,False
2024-11-28,0.0,0.0,0.0,0.0,0.0,0.0,2024,11,28,3,4,48,0,0,0,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,0.0,0.0,1.0,0.0,0.0,0.1,0.0,5.0,169.0,0.0,False,False,False,False,False,True,False,False
2024-11-29,0.0,0.0,0.0,0.0,0.0,0.0,2024,11,29,4,4,48,0,0,0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0.0,0.0,0.0,0.0,0.0,0.1,0.0,8.0,271.38,0.0,False,False,False,False,False,True,False,False
2024-11-30,0.0,0.0,0.0,0.0,0.0,0.0,2024,11,30,5,4,48,1,0,1,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,0.0,0.0,0.0,0.0,0.0,0.1,0.0,5.0,164.1,0.0,False,False,False,False,False,True,False,False
2024-12-01,0.0,0.0,0.0,0.0,0.0,0.0,2024,12,1,6,4,48,1,1,0,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,0.0,0.0,0.0,0.0,0.0,0.1,0.0,15.0,497.2,0.0,False,False,False,False,False,True,False,False
2024-12-02,21.06,1.0,21.06,17.0,17.0,17.0,2024,12,2,0,4,49,0,0,0,-2.4492935982947064e-16,1.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.14285714285714285,0.13333333333333333,0.3779644730092269,9.0,272.84,0.1111111111111111,False,False,False,False,False,True,False,False
2024-12-03,0.0,0.0,0.0,0.0,0.0,0.0,2024,12,3,1,4,49,0,0,0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,1.0,0.0,1.0,0.3333333333333333,0.14285714285714285,0.13333333333333333,0.3779644730092269,11.0,359.06,0.0,False,False,False,False,False,True,False,False
2024-12-04,0.0,0.0,0.0,0.0,0.0,0.0,2024,12,4,2,4,49,0,0,0,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434,0.0,0.0,0.0,0.3333333333333333,0.14285714285714285,0.13333333333333333,0.3779644730092269,12.0,385.02,0.0,False,False,False,False,False,True,False,False
2024-12-05,0.0,0.0,0.0,0.0,0.0,0.0,2024,12,5,3,4,49,0,0,0,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419,0.0,0.0,0.0,0.0,0.14285714285714285,0.13333333333333333,0.3779644730092269,9.0,282.64,0.0,False,False,False,False,False,True,False,False
2024-12-06,0.0,0.0,0.0,0.0,0.0,0.0,2024,12,6,4,4,49,0,0,0,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,0.0,0.0,0.0,0.0,0.14285714285714285,0.1,0.3779644730092269,2.0,71.52,0.0,False,False,False,False,False,True,False,False
2024-12-07,0.0,0.0,0.0,0.0,0.0,0.0,2024,12,7,5,4,49,1,0,0,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146,0.0,0.0,0.0,0.0,0.14285714285714285,0.1,0.3779644730092269,6.0,199.85999999999999,0.0,False,False,False,False,False,True,False,False
2024-12-08,21.06,1.0,21.06,20.0,20.0,20.0,2024,12,8,6,4,49,1,0,0,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,0.0,0.0,0.0,0.3333333333333333,0.2857142857142857,0.13333333333333333,0.4879500364742664,13.0,396.28000000000003,0.07692307692307693,False,False,False,False,False,True,False,False
2024-12-09,0.0,0.0,0.0,0.0,0.0,0.0,2024,12,9,0,4,50,0,0,0,-2.4492935982947064e-16,1.0,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.14285714285714285,0.13333333333333333,0.3779644730092269,5.0,154.3,0.0,False,False,False,False,False,True,False,False
2024-12-10,0.0,0.0,0.0,0.0,0.0,0.0,2024,12,10,1,4,50,0,0,0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,0.0,0.0,0.0,0.3333333333333333,0.14285714285714285,0.13333333333333333,0.3779644730092269,2.0,61.72,0.0,False,False,False,False,False,True,False,False
2024-12-11,21.06,1.0,21.06,14.0,14.0,14.0,2024,12,11,2,4,50,0,0,0,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434,0.0,0.0,0.0,0.3333333333333333,0.2857142857142857,0.16666666666666666,0.4879500364742664,7.0,225.82,0.14285714285714285,False,False,False,False,False,True,False,False
2024-12-12,42.12,2.0,21.06,18.0,18.0,18.0,2024,12,12,3,4,50,0,0,0,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419,1.0,0.0,0.0,1.0,0.5714285714285714,0.23333333333333334,0.7867957924694432,7.0,196.42,0.2857142857142857,False,False,False,False,False,True,False,False
2024-12-13,0.0,0.0,0.0,0.0,0.0,0.0,2024,12,13,4,4,50,0,0,0,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,2.0,0.0,0.0,1.0,0.5714285714285714,0.23333333333333334,0.7867957924694432,8.0,266.48,0.0,False,False,False,False,False,True,False,False
