date,product,transactions,h,yhat,model
2025-03-14,Americano,10.0,5,2.0,naive1
2025-03-14,Americano with Milk,1.0,5,2.0,naive1
2025-03-14,Cappuccino,1.0,5,2.0,naive1
2025-03-14,Cocoa,3.0,5,1.0,naive1
2025-03-14,Cortado,0.0,5,0.0,naive1
2025-03-14,Espresso,1.0,5,1.0,naive1
2025-03-14,Hot Chocolate,0.0,5,0.0,naive1
2025-03-14,Latte,7.0,5,0.0,naive1
2025-03-15,Americano,1.0,6,2.0,naive1
2025-03-15,Americano with Milk,3.0,6,2.0,naive1
2025-03-15,Cappuccino,3.0,6,2.0,naive1
2025-03-15,Cocoa,0.0,6,1.0,naive1
2025-03-15,Cortado,0.0,6,0.0,naive1
2025-03-15,Espresso,0.0,6,1.0,naive1
2025-03-15,Hot Chocolate,0.0,6,0.0,naive1
2025-03-15,Latte,0.0,6,0.0,naive1
2025-03-16,Americano,1.0,7,2.0,naive1
2025-03-16,Americano with Milk,1.0,7,2.0,naive1
2025-03-16,Cappuccino,1.0,7,2.0,naive1
2025-03-16,Cocoa,0.0,7,1.0,naive1
2025-03-16,Cortado,0.0,7,0.0,naive1
2025-03-16,Espresso,0.0,7,1.0,naive1
2025-03-16,Hot Chocolate,1.0,7,0.0,naive1
2025-03-16,Latte,1.0,7,0.0,naive1
2025-03-10,Americano,4.0,1,4.0,snaive7
2025-03-10,Americano with Milk,3.0,1,2.0,snaive7
2025-03-10,Cappuccino,1.0,1,4.0,snaive7
2025-03-10,Cocoa,1.0,1,2.0,snaive7
2025-03-10,Cortado,0.0,1,0.0,snaive7
2025-03-10,Espresso,0.0,1,0.0,snaive7
2025-03-10,Hot Chocolate,3.0,1,5.0,snaive7
2025-03-10,Latte,5.0,1,5.0,snaive7
2025-03-11,Americano,4.0,2,9.0,snaive7
2025-03-11,Americano with Milk,1.0,2,2.0,snaive7
2025-03-11,Cappuccino,2.0,2,1.0,snaive7
2025-03-11,Cocoa,2.0,2,2.0,snaive7
2025-03-11,Cortado,0.0,2,0.0,snaive7
2025-03-11,Espresso,0.0,2,0.0,snaive7
2025-03-11,Hot Chocolate,2.0,2,0.0,snaive7
2025-03-11,Latte,2.0,2,2.0,snaive7
2025-03-12,Americano,6.0,3,6.0,snaive7
2025-03-12,Americano with Milk,1.0,3,3.0,snaive7
2025-03-12,Cappuccino,3.0,3,3.0,snaive7
2025-03-12,Cocoa,2.0,3,2.0,snaive7
2025-03-12,Cortado,0.0,3,0.0,snaive7
2025-03-12,Espresso,0.0,3,1.0,snaive7
2025-03-12,Hot Chocolate,1.0,3,1.0,snaive7
2025-03-12,Latte,4.0,3,3.0,snaive7
2025-03-13,Americano,3.0,4,3.0,snaive7
2025-03-13,Americano with Milk,4.0,4,3.0,snaive7
2025-03-13,Cappuccino,2.0,4,2.0,snaive7
2025-03-13,Cocoa,0.0,4,1.0,snaive7
2025-03-13,Cortado,0.0,4,0.0,snaive7
2025-03-13,Espresso,1.0,4,1.0,snaive7
2025-03-13,Hot Chocolate,0.0,4,1.0,snaive7
2025-03-13,Latte,2.0,4,1.0,snaive7
2025-03-14,Americano,10.0,5,4.0,snaive7
2025-03-14,Americano with Milk,1.0,5,3.0,snaive7
2025-03-14,Cappuccino,1.0,5,2.0,snaive7
2025-03-14,Cocoa,3.0,5,2.0,snaive7
2025-03-14,Cortado,0.0,5,0.0,snaive7
2025-03-14,Espresso,1.0,5,0.0,snaive7
2025-03-14,Hot Chocolate,0.0,5,3.0,snaive7
2025-03-14,Latte,7.0,5,3.0,snaive7
2025-03-15,Americano,1.0,6,4.0,snaive7
2025-03-15,Americano with Milk,3.0,6,3.0,snaive7
2025-03-15,Cappuccino,3.0,6,1.0,snaive7
2025-03-15,Cocoa,0.0,6,0.0,snaive7
2025-03-15,Cortado,0.0,6,0.0,snaive7
2025-03-15,Espresso,0.0,6,0.0,snaive7
2025-03-15,Hot Chocolate,0.0,6,0.0,snaive7
2025-03-15,Latte,0.0,6,0.0,snaive7
2025-03-16,Americano,1.0,7,2.0,snaive7
2025-03-16,Americano with Milk,1.0,7,2.0,snaive7
2025-03-16,Cappuccino,1.0,7,2.0,snaive7
2025-03-16,Cocoa,0.0,7,1.0,snaive7
2025-03-16,Cortado,0.0,7,0.0,snaive7
2025-03-16,Espresso,0.0,7,1.0,snaive7
2025-03-16,Hot Chocolate,1.0,7,0.0,snaive7
2025-03-16,Latte,1.0,7,0.0,snaive7
2025-03-10,Americano,4.0,1,4.571428571428571,ma7
2025-03-10,Americano with Milk,3.0,1,2.5714285714285716,ma7
2025-03-10,Cappuccino,1.0,1,2.142857142857143,ma7
2025-03-10,Cocoa,1.0,1,1.4285714285714286,ma7
2025-03-10,Cortado,0.0,1,0.0,ma7
2025-03-10,Espresso,0.0,1,0.42857142857142855,ma7
2025-03-10,Hot Chocolate,3.0,1,1.4285714285714286,ma7
2025-03-10,Latte,5.0,1,2.0,ma7
2025-03-11,Americano,4.0,2,4.571428571428571,ma7
2025-03-11,Americano with Milk,1.0,2,2.5714285714285716,ma7
2025-03-11,Cappuccino,2.0,2,2.142857142857143,ma7
2025-03-11,Cocoa,2.0,2,1.4285714285714286,ma7
